Date,Week_Numeric,Week_String,Sleep_Metric_Type,Value_in_Seconds,Rested
12/2/2024,2,Monday,Sleep Duration,30900,No
12/3/2024,3,Tuesday,Sleep Duration,37020,No
12/4/2024,4,Wednesday,Sleep Duration,30600,No
12/5/2024,5,Thursday,Sleep Duration,36600,No
12/6/2024,6,Friday,Sleep Duration,19800,Yes
12/7/2024,7,Saturday,Sleep Duration,28800,Yes
12/8/2024,1,Sunday,Sleep Duration,28920,Yes
12/9/2024,2,Monday,Sleep Duration,24840,No
12/10/2024,3,Tuesday,Sleep Duration,27900,Yes
12/11/2024,4,Wednesday,Sleep Duration,29820,Yes
12/12/2024,5,Thursday,Sleep Duration,30240,Yes
12/13/2024,6,Friday,Sleep Duration,30540,Yes
12/14/2024,7,Saturday,Sleep Duration,30480,Yes
12/15/2024,1,Sunday,Sleep Duration,35100,No
12/16/2024,2,Monday,Sleep Duration,29100,No
12/17/2024,3,Tuesday,Sleep Duration,31140,No
12/18/2024,4,Wednesday,Sleep Duration,29820,Yes
12/19/2024,5,Thursday,Sleep Duration,28980,Yes
12/20/2024,6,Friday,Sleep Duration,29460,No
12/21/2024,7,Saturday,Sleep Duration,30120,No
12/22/2024,1,Sunday,Sleep Duration,25680,No
12/23/2024,2,Monday,Sleep Duration,29940,No
12/24/2024,3,Tuesday,Sleep Duration,32640,No
12/25/2024,4,Wednesday,Sleep Duration,33360,No
12/26/2024,5,Thursday,Sleep Duration,21000,No
12/27/2024,6,Friday,Sleep Duration,31860,No
12/28/2024,7,Saturday,Sleep Duration,28560,No
12/29/2024,1,Sunday,Sleep Duration,35760,No
12/30/2024,2,Monday,Sleep Duration,21420,No
12/31/2024,3,Tuesday,Sleep Duration,20640,No
1/1/2025,4,Wednesday,Sleep Duration,36060,No
1/2/2025,5,Thursday,Sleep Duration,34920,Yes
1/3/2025,6,Friday,Sleep Duration,31020,Yes
1/4/2025,7,Saturday,Sleep Duration,24120,No
1/5/2025,1,Sunday,Sleep Duration,39720,No
1/6/2025,2,Monday,Sleep Duration,26460,Yes
